epoch,accuracy,loss,val_accuracy,val_loss
0,0.6473715901374817,0.6747385859489441,0.5542868375778198,0.9142382740974426
1,0.7152889370918274,0.5590676069259644,0.6794871687889099,0.6260429620742798
2,0.7363061904907227,0.5197392106056213,0.7191506624221802,0.5687752962112427
3,0.7636436820030212,0.4925730228424072,0.7367788553237915,0.5880435109138489
4,0.7727728486061096,0.47456684708595276,0.7738381624221802,0.49706122279167175
5,0.7838583588600159,0.45927608013153076,0.7774438858032227,0.48496657609939575
6,0.7888242602348328,0.4519791901111603,0.8044871687889099,0.4345906674861908
7,0.7967997789382935,0.4427025318145752,0.7844551205635071,0.5079891085624695
8,0.7942917346954346,0.4333952069282532,0.8221153616905212,0.41076117753982544
9,0.800561785697937,0.4310033321380615,0.7772436141967773,0.49315017461776733
10,0.8055276870727539,0.42058396339416504,0.784254789352417,0.4843534827232361
11,0.8114466071128845,0.4140462279319763,0.8185096383094788,0.42683127522468567
12,0.8267455697059631,0.38419342041015625,0.8449519276618958,0.36114946007728577
13,0.8283507227897644,0.38130608201026917,0.8441506624221802,0.3589183986186981
14,0.8345204591751099,0.371534526348114,0.8411458134651184,0.3708696961402893
15,0.8353732228279114,0.36852267384529114,0.8473557829856873,0.35518157482147217
16,0.8379313945770264,0.3642735481262207,0.8415464758872986,0.3778727948665619
17,0.8382825255393982,0.3658721446990967,0.8495593070983887,0.3434789180755615
18,0.8421950340270996,0.363500714302063,0.8479567170143127,0.3557402193546295
19,0.8412419557571411,0.3612486720085144,0.8393429517745972,0.37642189860343933
20,0.838733971118927,0.3622403144836426,0.8523637652397156,0.34757986664772034
21,0.8421950340270996,0.3565981388092041,0.8411458134651184,0.38083377480506897
22,0.8443017601966858,0.35748812556266785,0.8483573794364929,0.3708511292934418
23,0.8445525765419006,0.35610106587409973,0.838942289352417,0.38531363010406494
24,0.8471609354019165,0.3485391139984131,0.8529647588729858,0.3488132655620575
25,0.8503210544586182,0.3438481092453003,0.8519631624221802,0.3519513010978699
26,0.8481641411781311,0.345756858587265,0.8553686141967773,0.3427748680114746
27,0.8456560969352722,0.34835612773895264,0.8537660241127014,0.3456718921661377
28,0.8485152721405029,0.3444806635379791,0.8483573794364929,0.35862550139427185
29,0.8483145833015442,0.3472311496734619,0.8565705418586731,0.34261971712112427
30,0.8498194217681885,0.34470653533935547,0.8517628312110901,0.354549765586853
31,0.8495184779167175,0.34243330359458923,0.848557710647583,0.35613155364990234
32,0.8481641411781311,0.3432583510875702,0.8427484035491943,0.3792950212955475
33,0.8492174744606018,0.34495508670806885,0.8533653616905212,0.34604230523109436
34,0.8499699234962463,0.34473103284835815,0.8547676205635071,0.34442371129989624
35,0.8475621938705444,0.33963868021965027,0.8549679517745972,0.3435785472393036
36,0.8495686054229736,0.34356123208999634,0.8547676205635071,0.34719419479370117
37,0.8525280952453613,0.338657408952713,0.8541666865348816,0.3476707637310028
38,0.8510734438896179,0.34071245789527893,0.854567289352417,0.3477496802806854
39,0.8494682908058167,0.33997634053230286,0.8553686141967773,0.3441372811794281
40,0.8517757058143616,0.34002676606178284,0.8543669581413269,0.34732601046562195
41,0.8515248894691467,0.3387763798236847,0.8537660241127014,0.34708741307258606
42,0.8512740731239319,0.3380328416824341,0.8533653616905212,0.3461264669895172
43,0.8519261479377747,0.34165188670158386,0.8531650900840759,0.3496621549129486
44,0.8525280952453613,0.33750903606414795,0.8513621687889099,0.3519923686981201
